sentiment,negative_reason,text
positive,,b'Seems like a quiet polling day. Will we get anything other than the trackers today? Or is tomorrow going to bring us an avalanche of final polls?\n\n#cdnpoli #elxn43'
negative,Scandal,"b'Seems the media is piling it on Scheer &amp; the Conservatives in these last couple days before the election, they must know something &amp; be VERY scared..#elxn43'"
negative,Others,b'Seriously because this is a strategy with these guys.  Look at #kenney and his #WarRoom.  They\xe2\x80\x99ll train these tactics on any opposition post election too . Want to send a message #CdnVoters won\xe2\x80\x99t tolerate this bull.  It has to lose #cdnpoli #elxn43 https://t.co/rtqZ7uGX2q'
positive,,"b'She has has easily been one of the most effective opposition members, prosecuting the government\xe2\x80\x99s ethics at every turn. It\xe2\x80\x99s no surprise Trudeau wants to see @lraitt gone. For him, this one\xe2\x80\x99s personal. #elxn43 https://t.co/19HwnAESyS'"
negative,Tell lies,b'Sheer being unfit to lead aside. I don\xe2\x80\x99t see the media holding Trudeau to account like this when he deflects their questions #cdnelxn2019 #elxn43 #cdnpoli https://t.co/ml1tzK2r0l'
positive,,"b'Short break from #CdnPoli #elxn43\n#soundon\nKananaskis County, BC \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\n\xf0\x9f\x93\xb9 ritzroams https://t.co/PvDKlylmC8'"
negative,Scandal,"b'Should the Kinsellas be fired from @TheTorontoSun for conflict of interest, and prosecuted for interfering in a federal election?\n\n#elxn43 #cndpoli #PPC2019 #Kinsellouts'"
negative,Others,b'Shoutout to all the Canadian nerds that get to stress out about the fate of our country AND getting Star Wars tickets on Monday. #elxn43 https://t.co/9V6SCr0yaw'
negative,Tell lies,b'Sick of fake news! Semi crash-leaks petroleum products-look what the @CBCNews reports for the damage area-10% of AB? Do they really think we are all that dumb. Between this and @RosieBarton how can anyone think the cbc is still legit? #cndpoli #elxn43 #DefundCBC @davidakin @Coyne https://t.co/yGQCNYGawt'
negative,Others,b'Silly me for hoping strategic voting in this election would include defeating the @liberal_party as well as @CPC_HQ #elxn43'
negative,Scandal,"b'SIngh responds to story the Conservatives hired consultant to \xe2\x80\x9cdestroy\xe2\x80\x9d PPC. \n\xe2\x80\x9cWith respect to having a plan to subvert another party, paid by another party, Cdns would be troubled by that. Those are things the Conservatives are going to have to respond to.\xe2\x80\x9d #CanadaVotes #elxn43'"
positive,,b'Snarky NDP is my favourite NDP #nightfollowsday #UpRiSingh #elxn43 https://t.co/9qGPAjtaJ3'
negative,Scandal,b'So @AndrewScheer and the @CPC_HQ hired a firm to try and destroy @MaximeBernier and the PPC to swing votes towards the CPC.\n\nScheer also blatantly lied about the other parties raising the GST.\n\nAnd Trudeau is the untrustworthy one...\n\n#elxn43 \n#cdnpoli'
negative,Tell lies,"b'So @AndrewScheer lied, got called out for lying, and then he rejected that it was a lie because he \xe2\x80\x9cdoesn\xe2\x80\x99t trust Trudeau\xe2\x80\x9d. We\xe2\x80\x99re officially in Trump territory, folks. #CDNPoli #elxn43 #ScheerNonsense https://t.co/WEqHGRvFev'"
negative,Scandal,"b'So all this time, Kinsella was actually being paid to be like that. I should apologize to him for thinking he was personally a bad person! He was just doing the job Scheer was paying him to do!\n#cdnpoli #elxn43 #KinsellaGate #ScheerKinsella #KinsellaSNC'"
positive,,b'So glad to see the @globeandmail doing this. Take advantage of this free access and read some quality Canadian journalism! #elxn43 https://t.co/GYLYfUM4yk'
negative,Scandal,"b'So how will we get to Democratic Reform, actually?\nhttps://t.co/3mt8dL6Vun\n#elxn43 https://t.co/nnxHcGed6M'"
negative,Others,b'so their attempt at connecting with young people via social media is about as half-baked as their attempt thru policy #elxn43 \n\nhttps://t.co/mzacCylejr'
positive,,b'So with 2 days left til the election I\xe2\x80\x99m wondering how many undecided voters there still is out there \xf0\x9f\xa4\x94\n\nHave you already decided?\n#cdnpoli #elxn43 #vote2019'
positive,,b'So worth a read\n\nA prompt for each of us to encourage friends and neighbours to vote. To start the conversation. And to maybe offer a lift to the polling station on Monday\n\nWe are fortunate in Canada to be able to vote and to do so in safety and without fear\n\n#elxn43 #cdnpoli https://t.co/BUVyUJ5Bqt'
negative,Scandal,"b'So, Canadian Trumpty-Dumpty is showing his true colours when he hires a firm to dig up dirt on his opponents. \n#cdnpoli #elxn43 #ItsOurVote #ChooseForward https://t.co/25WVlNyMGT'"
positive,,"b'So, it\xe2\x80\x99s yes. #ScheerLiar #ScheerDisaster #ScheerNonsense #elxn43 https://t.co/tcCgCGaLqz'"
negative,Scandal,"b'So, was the #PPC really as bad as the media painted it to be? You know when the interview comes to an end when Scheer takes a swig of water.\n \n#SipAndRun #AndrewScheer #WarrenKinsella #MaximeBernier #elxn43 #cdnpoli #CanadaVotes https://t.co/Jy2d4h2Ryp'"
negative,Separation,"b'So, with the last 2 days before we elect a new government, people wonder why Alberta, Sask and parts of Manitoba are suggesting separation. Maybe it\xe2\x80\x99s because our leaders have confirmed how unimportant we are to them #cdnpoli #cdnmedia #elxn43 https://t.co/irjTENoZWW'"
negative,Others,b'Some common sense coming out of #vancouver where normally it goes to die.\n\n#bcpoli #vanpoli #yvr  #victoriabc #burnaby #richmondbc #britishcolumbia #abpoli #polqc #quebec #ontario #ottawa #onpoli #topoli #canpoli #cdnpoli\xc2\xa0 #politics #elxn43 https://t.co/RB7qCAWSB4'
positive,,"b'Some fine words on #elxn43 from @EdtheSock. Please, take the time to read it. https://t.co/yQfaI8J5Vh #StopScheer'"
negative,Others,"b'Some people are slower learners than others. \xf0\x9f\x99\x84 It took the media four years to notice that Justin Trudeau never directly answers a question, ever?\n#elxn43 #TrudeaMustGo https://t.co/HMBj2DjY7v'"
negative,Others,"b'Someone needs to stop these ppl, this is just wrong.\n#elxn43 #cdnpoli #ItsOurVote #ProChoice https://t.co/OdG9uZ1aQ7'"
positive,,"b'Someone should ask; so, Andy, did you get good bang for your buck? #elxn43 https://t.co/7f6iT1U5f7'"
positive,,b'Something to CONsider on Monday https://t.co/yoIFc0MBPq #elxn43 #onpoli https://t.co/eu0oSZTWUx'
positive,,b'SOOO CLOSE\n\n#cdnpoli #elxn43 https://t.co/wH0sExH84s'
negative,Scandal,"b'Sorry @lraitt, it\'s not looking good for you in #MiltonON, you are up against a great guy in @vankayak , hell I would vote for him if I could plus your ""Cancer is Sexy"" comment was pretty stupid. Maybe you could be my Insurance secretary when I lose on Monday. #BuhByeLisa #elxn43 https://t.co/ZBfLFbMUvI'"
positive,,"b'Sound ON, friends! #elxn43 \xf0\x9f\x8e\xa4 https://t.co/yQwYx2NBAz'"
positive,,b'Statement on the 2019 Canadian federal election https://t.co/N3OhAuykYc #forest #cdnpoli #elxn43 #environment   #youth4climate #ClimateCrisis'
positive,,b'Stay lighthearted because this election is horrible. \n\nCuddle pandas &amp; don\xe2\x80\x99t accuse people of hating Trudeau when you don\xe2\x80\x99t know them. \n\n#ChooseForward #elxn43 https://t.co/irXP5kHCZt'
positive,,b'Still feel undecided or uninformed about who to vote for? There is less than two days until Canadians cast their ballots on Monday! Check out https://t.co/tGRf2PKmUX for the major parties\xe2\x80\x99 platforms. See you Monday! #elxn43 #CanadaElection2019'
positive,,b'Still out in force! Hardest working team in #Guelph! #elxn43 #ppc2019 https://t.co/zXsMoH3jrN'
negative,Others,"b'Stop asking click bait questions, and ask shit that Canadians really care about.\n\nOr is this too complicated?\n\n#elxn43 https://t.co/a2xYaL36OD'"
positive,,b'Studying &gt; Sports this weekend! \n\nI\xe2\x80\x99ll be live at Liberal Minister Jim Carr\xe2\x80\x99s campaign hq reporting as part of @CTVNationalNews #elxn43 broadcast. https://t.co/kEvReCMpxO'
positive,,b'Stumble Bum #Scheer in one of his finer moments #FumbleFrack #elxn43 #cdnpoli https://t.co/jATbgjXjvL'
negative,Scandal,b'Sun scribe #Kinsella hired to take down #Bernier by #Conservatives #cdnpoli #CDNmedia #elxn43 https://t.co/5uXfxvzQZX'
positive,,b'Super Saturday X is underway in #VanGran with #TeamJody all over. I get to knock on doors on this lovely street with my mumma. #grateful. \xf0\x9f\x9a\xaa#elxn43 https://t.co/jtJGkUvyFK'
negative,Scandal,"b'SURPRISE!! American hedge fund-controlled newspaper chain (linked to the National Enquirer, yet) supports lying homophobic misogynist insurance clerk and oil shill to run Canada.  https://t.co/iyXTGFvr6a #cdnpoli #elxn43'"
positive,,b'T - 2 days to #elxn43 and our brave volunteers are soaking up the honks for the Green wave in #Coombs . #goatsontheroof #cdnpoli #VoteGreen2019 https://t.co/I7URCvl0jK'
positive,,b'Take a break from #elxn43 for a minute and listen to a humpback whale song captured by @Ocean_Networks. https://t.co/XOZN0Ea6sV'
negative,Economy,"b'Taking credit for the economy is like claiming you control the tides. Using public money to buy a pipeline is a negative, not a positive. Also, is *that it*? Pretty thin for four years of government. You forgot #fakelegalization. #elxn43 #cdnpoli https://t.co/tTO0jajJHK'"
positive,,"b'Teams of volunteers across the country are working hard and getting ready to get out the vote \xf0\x9f\x97\xb3 and #ChooseForward on Monday! If you want to help, show up at your local liberal campaign office to volunteer! Also, Go Team Marco Go! \xf0\x9f\x98\x80 #elxn43 https://t.co/cyXTRkTh7C'"
positive,,"b'Thank you @joycemurray!! Grateful for all your support, help and wisdom - can\xe2\x80\x99t wait to work with you! #cdnpoli #elxn43 #ChooseForward #vangran https://t.co/r8kYriymBl'"
positive,,b'Thank you @PeterMacKay for stopping by our campaign HQ in #EtobicokeCentre and canvassing with us today. Great response at the doors ahead of #elxn43. Our volunteers are motivated to paint our riding blue on Monday. #cdnpoli https://t.co/VG2lvShsAa'
positive,,b'Thank you for the welcome at the doors! We have a wonderful community!  #Guelph #GuelphProud #cdnpoli #elxn43 #Conservative #canada #ontario #vote https://t.co/jXZGRc4DX7'
positive,,"b'Thank you for your support, Ivan! #elxn43 https://t.co/xvbNUqeSlj'"
positive,,b'Thank you Mike for your support and vote.\n\n#votetracygray #kelowna #lakecountry #okanagan #vote #canadavotes #canada #cdnpoli #elxn43 #yourcommunity #community #yourvoice #timetogetahead #conservatives https://t.co/ap8PsfhBei'
positive,,b'Thank you to Cory Parker and @iaff1286 for your support. I hope to continue to advocate and bring fenders funds for public safety as your Member of Parliament for #SRE #joepeschisolido #ChooseForward #JoinTeamJoe  #elxn43  #cdnpoli  #VoteforJoe #richmondbc #stevestonrichmondeast https://t.co/sG5E9NimGZ'
positive,,"b'Thank you to the incredible @oliviachow for this endorsement! \xe2\x80\x9cIn these divisive times, we need a human rights champion like Mae J. Nam in Parliament - someone who will protect minorities and make life affordable for all.\xe2\x80\x9d #ndp #elxn43 #initforyou #beacheseastyork #bey https://t.co/aJ1VeSpGp7'"
positive,,b'Thank you!!! #ChooseForward #elxn43 #cdnpoli https://t.co/4MGlFOWQEe'
positive,,"b'Thank you, my thoughts exactly!\nAndrew Scheer, he\xe2\x80\x99s not as Advertised!\n#NeverScheer #ScheerLies #ScheerHypocrisy \n\n#ChooseForward #ChooseForwardWithTrudeau \n#cdnpoli #elxn43 https://t.co/TdPFdE8SyB'"
positive,,b'Thanks for helping out today! #elxn43 https://t.co/b5iOy8rnhr'
positive,,"b'Thanks for the memories!\nA \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6teaching moment: \nTop-10yr old @JustinTrudeau watches as father pays respect to W.Canada on 8/8/82  #HeritageMoment \nBottom-Amherst, NS man signals in kind to Pierre\xe2\x80\x99s son on 10/15/19 \n#SalmonArmSalute \n#Trudeau100\n#TrudeauMustGo \n#cdnpoli #elxn43 https://t.co/HZlGOGWlTz https://t.co/Gko7XDu4ux'"
positive,,b'Thanks or the chat @katecallen! #elxn43 https://t.co/2XVZk4IgMy'
positive,,b'Thanks to my friends at @ANCToronto and Chair Harout Matossian for meeting with me today in Don Valley North. Proud to run with the endorsement of the @ancc_cnac ! \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 \xf0\x9f\x87\xa6\xf0\x9f\x87\xb2 #ChooseForward #elxn43 #liberal https://t.co/3UtbxYyMix'
negative,Tell lies,b'That constant headshake while talking is the #ScheerTell.  #cdnpoli #elxn43 https://t.co/7042xJTpnb'
negative,Scandal,b'That damn left wing media in Canada #elxn43 #cdnpoli https://t.co/S8Um8uqtut'
negative,Others,b'That settles that...God does not exist! #cdnpoli #elxn43 https://t.co/bIORJo8tTd'
positive,,"b'That sounds like more MSM questions than another, more interesting, @globeandmail #elxn43 story https://t.co/nTT6lz3D9F https://t.co/BYz89twGvo'"
negative,Healthcare and Marijuana,"b'That\xe2\x80\x99s Chuck Rifici, who was the CFO to the Liberal Party of Canada - posing with his Lambo\n\nHe like numerous Liberals got rich as they knew Trudeau would legalize weed\n\nNow, every Province selling it and every company growing it lose millions as no one buys it \n\n#elxn43 #cdnpoli https://t.co/dvh5eibku4'"
negative,Others,"b'The ""muh freeze peach"" crowd having an epic cry in the replies to this are pretty laughable. It was clearly a joke. Sorry he hurt your fee fees. JFC Conservatives are the biggest crybullies on Earth #cdnpoli  #elxn43 https://t.co/zSNiNd4tfY'"
positive,,b'The #cons are full of toxic masculinity and hate. Is this who we really want making decisions for us?  We deserve better. #ChooseForward #TeamTrudeau #cdnpoli #elxn43 https://t.co/JnB6FIS4S3'
positive,,"b'The #PostmediaScam is continuing. Just like 2015, all their editorial boards ordered by their US bosses to back the Conservatives. \n\nOur endorsement: Best choice for Canada is Andrew Scheer \n@OttawaCitizen\n#ScheerDisaster\n#ScheerHypocrisy\n#cdnpoli\n#elxn43\n\nhttps://t.co/GLhrXUBj8C'"
positive,,b'The #Scheer Conservative campaign. Victory at hand. Uh oh. \xf0\x9f\x98\xa8\xf0\x9f\x98\xb1\xf0\x9f\x92\xa9 #cdnpoli #elxn43 https://t.co/kKulZGtHLb'
positive,,b'The @CityofRegina is offering free transit fare for those exercising their right to vote this Monday! #yqr #elxn43 https://t.co/jSUJT2S32e'
negative,Scandal,"b'The @CPC_HQ is subverting Canadian democracy. @AndrewScheer paid #Kinsellout to smear the #PCC and @MaximeBernier as racist. The @CPC_HQ has sold its soul to the devil to try and win. They are beyond morally corrupt at this point, they are morally devoid. #VotePPC #elxn43'"
positive,,b'The @jackknox election roundup in today\xe2\x80\x99s paper is fiery &amp; funny. \n\nPotshots for every party. \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n\nMy fave: the Greens \xe2\x80\x9chave a clear vision for the country. That country is Narnia.\xe2\x80\x9d\n\n#elxn43 #cdnelxn2019 \nhttps://t.co/x6lFuF4GNo'
positive,,"b'The beauty of understatement, as only @kady can do .. #cdnpoli #elxn43 https://t.co/wKGyWuVPbe'"
negative,Others,"b'The BIGGER story is Bernier was NOT THE ONLY ONE. This is their ROUTINE MO. We need to turf these people, altogether, #Canada. They\xe2\x80\x99re NOT worthy of serving us or our GREAT country. \n\n#TrueStory #FactsMatter\n#CDNvote2019 #elxn43\n#CanadaVotes #elxn2019\n#ItsOurVote #ChooseForward https://t.co/80gn6VYI59'"
positive,,"b'The child benefit demonstrates the huge impact of UBI. It helps pay for childcare and necessities, lifting people up.\n\nUnlike corporate welfare that concentrates wealth at the top, every penny goes back into the economy. We need more programs like this. #ChooseForward  #elxn43 https://t.co/uumvdS9wx8'"
positive,,"b'The choice in Markham-Stouffville is clear.\n\nWe can #ChooseForward and invest in Canadians, or go back to the Harper years of cuts to the very things we rely on.\n\nOn October 21st stop Conservative cuts, and vote Liberal.\n\n#elxn43 https://t.co/bgERt86G4H'"
negative,Tell lies,"b'The Conservative Party\xe2\x80\x99s coming out as the Stephen Harper American think tank influenced white nationalist party of Canada, who spent the campaign calling people names, smearing the opposition, and talking as little about their policy as possible.\n\n#cdnpoli #elxn43 https://t.co/QcTnMOKcOx'"
positive,,b'The election promises of the 2019 campaign remind me a lot of this: https://t.co/vSESNFWui9 #elxn43 #cdnpoli @VassyKapelos @PnPCBC @EvanLSolomon @RosieBarton'
positive,,b'The famous \xe2\x80\x9cDaisy Ad\xe2\x80\x9d.  Updated. #elxn43  https://t.co/HXxLz7ViS5'
positive,,"b'The federal government is responsible for vital income security programs from the Canada Child Benefit to the Guaranteed Income Supplement for seniors. Before voting on Monday, check out where the parties stand at https://t.co/DUVOlVhKaI #elxn43 #cdnpoli #bcpoli https://t.co/gPTnjXmYUP'"
negative,Others,"b'The issues that caught attention in #elxn43 are somehow boring, trivial, and not of substance. This is not how accountability should look like. https://t.co/jgtTDWfgXl'"
negative,Others,b'The kind of logic that defies belief... #elxn43 https://t.co/3ZObGq3PBf'
positive,,b'The latest COG - https://t.co/5hqE9iuRau\n\nEnglish language news from 500+ sources around the world.\n\nExpect other perspectives. #cdnpoli #elxn43'
negative,Tell lies,b'The Liberal Party of Canda has always been a bastion of fake progressivism.  #elxn43  #cdnpoli \n https://t.co/qphkOZasy0'
negative,Tell lies,b'The message behind the  @CPC_HQ \xe2\x80\x9cGet Ahead\xe2\x80\x9d lawn sign is so infuriatingly selfish and exactly the wrong mindset for getting out of most of our collective troubles #elxn43'
positive,,b'The only reason #CBC is dicussing #KinsellaGate is because it will syphon votes from the #CPC... which helps the #Liberals\n\nThey dont care about ethics of it. It is just the establishment play to keep #JustinTrudeau in power.\n\n#elxn43\n#cdnelxn2019\n#CanadaDebates2019 \n#polcan'
positive,,b'The party that gets the confidence of a majority of MPs (170 or more) gets to form government.\n\nThat\xe2\x80\x99s it. That\xe2\x80\x99s the tweet.\n\n#cdnpoli #elxn43'
positive,,b'The prediction markets aren\xe2\x80\x99t too impressed with the Kinsella/CPC news. Odds of a CPC plurality (most seats) drop below 20%.\n\n#elxn43 https://t.co/eg5LQXqRlv'
negative,Climate Problem,b'The same people who are opposed to fighting the climate crisis are the same people who used to return the vhs to blockbuster without rewinding it first #elxn43'
positive,,b'The time he stopped speaking to comfort a mother who had lost her son to suicide. This photo touched my heart. \n\nI know he lost his brother Michel. \n\nI lost my brother Michael to suicide. \n\nOur Prime Minister @JustinTrudeau has a true heart. \n\n#elxn43 #ChooseForward https://t.co/zO6opdj9gv'
negative,Economy,"b'The Trudeau-NDP coalition is the coalition you can\xe2\x80\x99t afford. Their radical position on pipeline development will mean fewer jobs for Canadians and less future revenue that can be put toward health care, education and social services across Canada. #cdnpoli #elxn43 https://t.co/uGBNhcG7ht'"
positive,,"b'The wannabe state propagandists are trying their hardest to aid their team.\n\nBeware people, these guys dont represent the proletariat. #elxn43 #cdnpoli https://t.co/ltCU76ai5U'"
positive,,"b'The worst thing about the Kinsella Scheer debacle is that it might garner sympathy for Bernier.\n\nHey, #Beauce - Bernier does not give a shit about you. You owe it to your neighbours to vote for someone who does. \n\nIn #elxn43, vote Richard Lehoux: https://t.co/K5TY13sI0T'"
positive,,b'there are disparities in the disparity #elxn43 #cdnpoli courage people -- not just courage to stand up for ourselves but courage to stand up for someone else and courage to stand up to the powers that currently be'
positive,,"b'There are serious issues that must be addressed by the next Canadian government:\n\n- climate change\n- respect for First Nations people and rights\n- nationalizing pharmacare &amp; dental care\n- treating drug abuse as a health issue, not as criminal issue\n\nVote for the future!\n\n#elxn43'"
negative,Scandal,b'There goes freedom of speech and he hadn\xe2\x80\x99t been re-elected \xe2\x98\xb9\xef\xb8\x8fwake up Canada Jagmeet and Justin will ruin Canada as we know and love #TrudeauMustGo #elxn43 https://t.co/1yJGy1km9V'
negative,Tell lies,b'There is no way #Ontario will be voting for the party they threw out  just a year ago. The only Liberals in Ontario are the fools left in the #Toronto Council &amp; those who are gullible enough to believe their lies #TrudeauMustGo #cdnpoli #elxn43 #racism #fakefeminism #Scheer4PM https://t.co/drUWA3jA02'
negative,Economy,"b'There is nothing Trudeau did in four years that had the slightest influence on GDP or jobs. To claim otherwise is just making things up. If the economy had tanked, Trudeau, his cultists and trolls would be blaming external factors. #cdnpoli #elxn43 https://t.co/oD3yGVAMSD'"
positive,,"b'There isn\xe2\x80\x99t enough coverage on the great campaign #TeamTrudeau has managed to pull off so far! \n\nThey seem poised for success, I agree with PM Chr\xc3\xa9tien! \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\n\n#cdnpoli #elxn43 #ChooseForward https://t.co/hhqJLrbh9w'"
negative,Others,"b'There was a crooked Andy, &amp; he walked a crooked mile,\nHe found a crooked loonie against a crooked #CPC sign, \nHe bought a crooked cat named Warren who was a crooked louse\nAnd they all lived together in a little crooked Opposition Leader\xe2\x80\x99s house. \n\n#cdnpoli #elxn43 #dirtypolitics'"
positive,,b'These two protestors were outside @AndrewScheer\xe2\x80\x99s first event in the Toronto area today\n#elxn43 #cdnpoli @GlobalNational https://t.co/5ZbkG0j5YO'
positive,,b'These Xbox kids going crazy\xf0\x9f\x98\xad\xf0\x9f\x98\xad #xboxlive #rage #hilarious #funnyphotos #elxn43 #KinsellaGate #CallofDutyModernWarfare https://t.co/WW6aSjd5Rw'
negative,Scandal,"b'This #elxn43 is so difficult for #Alberta . In my family I know at least one, a former Calgary resident during the 80\xe2\x80\x99s, is voting Liberal in Winnipeg. I\xe2\x80\x99m afraid to bring up politics with any of my family. How many times can you be punched in the gut? https://t.co/m9TXL5YEz3'"
positive,,b'This about sums up @CanadianGreens and their leader dizzy miss @ElizabethMay #cdnpoli #elxn43 #TrudeauMustGo #ScheerMajority https://t.co/4bfKCFbZXM'
negative,Tell lies,b'This also unequivocally explains the brownface photos. Gutter politics. Rebel Media. Hamish Marshall. Absolute garbage.\n\nAndrew Scheer and CPC are not to be trusted.\n\n#cdnelxn2019 #elxn43 #cdnpoli https://t.co/F53bXPulJ6'
positive,,b'This and Obama\xe2\x80\x99s support should firmly and fully moot all the false racism arguments. #Cdnpoli #cdnelxn2019 #elxn43 #ChooseForward https://t.co/RfkwPEmC2K'
positive,,b'This applies to the entire planet! #FridaysForFuture #ClimateActionNow #elxn43 #cdnpoli \xe2\x81\xa6@CanadianGreens\xe2\x81\xa9 https://t.co/wOaLNRP2OH'
positive,,b'This comment was gold. @rickmercer still sharp as ever! #cdnpoli #elxn43 https://t.co/ButoBRSlfV'
positive,,b'This election got me like... #elxn43 #CanadaVotes2019 #WTF https://t.co/jEQ7bLUde2'
negative,Others,b'This election has angered me more than any other before especially towards the CPC. Coyne makes some very good points. Monday will be a very interesting day in our history. Get out and vote.  #elxn43 #abpoli https://t.co/C5GDR0NKgT'
positive,,b'This election is not only important to Canada but to the world. Canada is not facing climate change the world is. The liberal party brings forward a plan not only for a better country but for a better world. #elxn43 https://t.co/EOWk9J2Exf'
positive,,b'This election is such a toss-up at this point. #elxn43 https://t.co/hF3zi81MxV'
negative,Scandal,"b'this gang of thugs are desperate, manipulating our election for their profit, to invade by stealth, corrupt our gov. and exploit people and resources. #predatortyCapitalism is not new. Canadians need to wake up. #votingLiberal Majority is a step in the right direction. #elxn43 https://t.co/E6H158oPvB'"
positive,,"b'This guy is starting to grow on people. Being authentic, personable and relatable goes along way in politics. Good luck to candidates of all political stripes. We need solid people in public office. #canpoli #elxn43 https://t.co/vKiBiDHWqC'"
negative,Climate Problem,"b'This is a must view. The climate crisis is real, it is NOW. Even by implementing aggressive policy changes it will take years to resolve. Vote #elxn43 #cdnpoli https://t.co/ntytfuDrBU'"
positive,,"b'This is a powerful &amp; effective ad -- I think it works well to blend elements of the original w/ images showing the #climatecrisis. The only thing I\'d change would be to add ""Because they do"" after ""Let\'s act like our lives depend on it."" #elxn43 #cdnpoli https://t.co/gLyzJ4IBix'"
negative,Women Reproductive right and Racism,"b'This is a racist dogwhistle, and it is disappointing and embarrassing to see Elizabeth May \xe2\x80\x9clike\xe2\x80\x9d it. #cdnpoli #elxn43 https://t.co/9x0swJfVqx'"
positive,,b'This is a really awesome eastern Canadian accent.\n\n(heart emoji) #elxn43 https://t.co/tPCqEWDMDq'
negative,Others,b'This is an outrage. We can stop him at the polls on Monday. #StopScheer #ChooseForward #elxn43 #Elxn2019 https://t.co/CiwJVqo3X0'
negative,Others,b'This is beyond scary!\n\n#cdnpoli #elxn43 https://t.co/cq5idHJwkc'
positive,,"b'This is Delta.\n\nCurrent polling shows Liberal/NDP/Green have 61% (!!!) of the vote combined.\n\nConservatives have 37%.\n\nUnless people vote strategically, Conservatives will win in Delta.\n\n#votesplitting #cdnpoli #elxn43 #bcpoli #vanpoli #DeltaBC #UpRiSingh https://t.co/9fCJQQ5oAy'"
negative,Others,b'This is disgusting! #elxn43 https://t.co/C45f6cCCoh'
positive,,"b'This is electrifying, truly!! Our man @JustinTrudeau is on the offensive !! #cdnpoli #canpoli #elxn43 https://t.co/oj4266hg0f'"
negative,Others,b'This is getting ridiculous. #elxn43 #cdnpoli https://t.co/3XCqGoyNjk'
negative,Others,"b'This is highly crappy, even in the context of this completely crappy election. \xf0\x9f\x92\xa9 #cdnpoli #elxn43 https://t.co/pJH6HjeeiG'"
positive,,"b'This is how the house of cards Scheer built will start to crack and crumble. \nStay tuned Canada, it will get more disappointing (or interesting depending on your perspective!).\n#cdnpoli #elxn43 #cpc #KinsellaGate #kinsellaSNC https://t.co/eE0S8wdHtu'"
negative,Others,"b'This is just plain wrong, @DonBraid - &amp; therefore incredibly misleading. The Greens, LPC &amp; NDP each have sections in their platform specifically focused on providing transition support. The only party that doesn\xe2\x80\x99t is the CPC. 1/ #cdnpoli #elxn43 #ableg #abpoli #yyc #yeg https://t.co/CDM3unrbd5'"
positive,,b'This is just Wow!! Huge turnout to welcome @JustinTrudeau in the key riding of #Milton #ChooseForward #ChooseForwardWithTrudeau #cdnpoli #canpoli #Elxn43 https://t.co/q4DUuilJwj'
positive,,"b'This is Langley Aldergrove.\n\nCurrent polling shows Liberal/NDP/Green have 50% of the vote combined.\n\nConservatives have 46%.\n\nUnless people vote strategically, Conservatives will win in Langley.\n\n#votesplitting #cdnpoli #elxn43 #bcpoli #vanpoli #LangleyBC #UpRiSingh https://t.co/R8NBQUWjoz'"
positive,,"b'This is Mission-Matsqui-Fraser Canyon.\n\nCurrent polling shows Liberal/NDP/Green have 57% of the vote combined.\n\nConservatives have 34%.\n\nUnless people vote strategically, Conservatives will win in Mission.\n\n#votesplitting #cdnpoli #elxn43 #bcpoli #vanpoli #Mission #UpRiSingh https://t.co/HNIf2oIvcN'"
positive,,"b'This is our movement and we\xe2\x80\x99re ready for a government that keeps its promises. \n\n@KelseyNdp I could not agree more, we\xe2\x80\x99ve been bamboozled throughout our lifetimes. We\xe2\x80\x99ve been told over and over again that government cuts are necessary in order to keep costs low. #elxn43 #cdnpoli https://t.co/hLJevGFs57'"
negative,Tell lies,"b'This is outrageous! The #ScheerLies are never ending #Canada! \n\n\xe2\x80\x9cHe\'s doing damage because\xc2\xa0there\'s so many Canadians who will believe what he says to be true.""~Professor Peter Russell \n\nhttps://t.co/JVeRXcC3ny\xe2\x80\xa6 #Cdnpoli\xc2\xa0 #elxn43\xc2\xa0 #CPC-Lies, period. #LPC #NDP #GreenParty #Onpoli'"
positive,,"b'This is Richmond Centre.\n\nCurrent polling shows Liberal/NDP/Green have 53% of the vote combined.\n\nConservatives have 46%.\n\nUnless people vote strategically, Conservatives will win Richmond Centre.\n\n#votesplitting #cdnpoli #elxn43 #bcpoli #vanpoli #Richmond #UpRiSingh https://t.co/sUIaG69YfB'"
negative,Scandal,"b'This is the choice Canadian voters must make on election day. Whether or not they want someone being investigated by RCMP for obstructing justice, accused of being a child sex offender &amp; a morally repugnant being representing them &amp; Canada for the next 4 years? #elxn43 #cdnpoli https://t.co/4YxLhR3p0f'"
positive,,b'This is the face of someone questioning life decisions. #cdnpoli #canpoli #elxn43 https://t.co/tgXEk9XCdq'
positive,,b'This is the world Scheer and the CPC embraces. #ChooseForward #cdnpoli #elxn43 #ScheerCuts #ScheerLies #KinsellaGate https://t.co/Iaz1OXwKlN'
negative,Tell lies,"b'This is what you vote for if you vote Conservative. Lies, fraud, and denial. #Abpoli #Ableg #elxn43 https://t.co/kMktK7MECO'"
positive,,b'This is why I voted Green and tried to talk as many people as possible into joining me! #elxn43 #cdnpoli https://t.co/f9XpVFFoI4'
